location_id,addressLine1,city,state,zipCode,county,longitude,latitude
0,2610 Philadelphia Pike,Claymont,DE,19703,New Castle,-75.466959,39.792457
1,7570 Lake John Dr,Annandale,MN,55302,Wright,-94.15624375,45.26182055
2,821 Jefferson St,Little Rock,AR,72204,Pulaski,-92.325635,34.743996
3,3840 Ironwood Ln,Bradenton,FL,34209,Manatee County,-82.609306,27.467139
4,8158 Jerry Dr,Powell,OH,43065,Delaware,-83.105815,40.184765
5,1707 Francis Ave,Austin,TX,78703,Travis,-97.765307,30.277155
6,416 Via Regatta St,Webster,TX,77598,Harris,-95.105349,29.531613
7,2508 Joppa Rd,York,PA,17403,York,-76.711763,39.91633
8,4463 S Yank St,Morrison,CO,80465,Jefferson,-105.145043,39.635916
9,7711 Sw 56th Ave,Gainesville,FL,32608,Alachua,-82.425049,29.60164
10,813 Bedrock Ln,Richmond,VA,23224,Richmond City,-77.47538,37.499093
11,703 Jackson St,Hoboken,NJ,7030,Hudson County,-74.03819,40.747912
12,513 Maple Branches Dr SE,Belville,NC,28451,Brunswick,-77.995615,34.216589
13,4447 S 37th St,Saint Louis,MO,63116,Saint Louis City,-90.24928,38.578753999999996
14,2980 Turtle Dove Trl,Deland,FL,32724,Volusia,-81.308543,29.10181
15,131 Hawthorne St,Geistown,PA,15904,Cambria,-78.875688,40.293758
16,532 Kenbridge Ln,Rock Hill,SC,29732,York,-81.087989,34.965859
17,4818 N Sydenham St,Philadelphia,PA,19141,Philadelphia,-75.150083,40.026999
18,1400 Laurel Springs Dr,Durham,NC,27713,Durham,-78.931313,35.913666
19,107 Rutgers Ave,Swarthmore,PA,19081,Delaware,-75.3495,39.9009
20,218 Milner Ave,Albany,NY,12208,Albany,-73.815533,42.659688
21,235 Park St,Attleboro,MA,2703,Bristol,-71.272625,41.942081
22,12312 S 204th,Buckeye,AZ,85326,Maricopa,-112.4900994,33.3342919
23,12 Glenhill Rd,Freehold,NJ,7728,Monmouth,-74.231745,40.276698
24,814 Blanchard Hill Ln,Houston,TX,77047,Harris,-95.409763,29.616366
25,7 Prospect St,Morristown,NJ,7960,Morris,-74.481932,40.799413
26,9302 Oak Hill Dr,Woodway,TX,76712,McLennan,-97.221708,31.494092
27,301 S 1st St,Union City,OH,45390,Darke,-84.802956,40.194225
28,3517 N Hills Dr,Austin,TX,78731,Travis,-97.755334,30.348889
29,75 Golden Meadow Dr,Batavia,OH,45103,Clermont,-84.118821,39.056341
30,9 Monte Rd,Lynn,MA,1904,Essex,-70.939531,42.487442
31,1617 13th St W,Palmetto,FL,34221,Manatee,-82.584447,27.524345
32,7801 Glenbrook Rd,Bethesda,MD,20814,Montgomery,-77.106542,38.987337
33,10535 Snowshoe Cir,Truckee,CA,96161,Placer,-120.165133,39.360954
34,2108 Patino Ln,Lady Lake,FL,32159,Sumter,-81.979575,28.949486
35,4115 Turner Dr,Cumming,GA,30040,Forsyth,-84.167906,34.188619
36,8145 County Rd,Moulton,AL,35650,Lawrence,-87.147452,34.484473
37,8523 Stone Chase,San Antonio,TX,78254,Bexar,-98.728812,29.520503
38,Woods Ln,Barto,PA,19504,Berks County,-75.59406152,40.42817223
39,3750 Las Vegas Blvd S,Las Vegas,NV,89158,Clark,-115.174305,36.106205
40,3017 Azahar St,Carlsbad,CA,92009,San Diego,-117.241511,33.08556
41,6717 Juno St,Forest Hills,NY,11375,Queens,-73.856529,40.717036
42,7304 Summer Cypress,Elkridge,MD,21075,Howard,-76.764592,39.209216
43,1934 W Urbana St,Broken Arrow,OK,74012,Tulsa,-95.813131,36.033339
44,1012 John Shelton Rd,Jacksonville,AR,72076,Lonoke,-92.040387,34.834633
45,1975 N Jasmine Ave,Clovis,CA,93619,Fresno,-119.671679,36.865266
46,2925 Dolphin Dr,Sebring,FL,33870,Highlands,-81.495093,27.536837
47,211 Chaney Point Dr,Roscommon,MI,48653,Roscommon,-84.671016,44.450801
48,20 Mel Mara Dr,Oxon Hill,MD,20745,Prince Georges,-77.010231,38.788243
49,14979 Tiger St NW,Anoka,MN,55303,Anoka,-93.49,45.242736
50,2476 Valhalla Dr,Tavares,FL,32778,Lake,-81.760042,28.780638
51,PO Box 511,Lake Oswego,OR,97034,Clackamas,-122.680901,45.409283
52,1392 Carling Dr,Saint Paul,MN,55108,Ramsey,-93.158476,44.972364
53,2901 Fairmeadows Ln,Fort Worth,TX,76123,Tarrant,-97.364555,32.627891
54,2325 Santa Fe Dr,Greenfield,IN,46140,Hancock,-85.729267,39.799088
55,9010 Corbin Ave,Northridge,CA,91324,Los Angeles,-118.560829,34.234442
56,7985 Nw 8th St,Miami,FL,33126,Miami-Dade County,-80.324108,25.778976
57,9144 Tyler St NE,Minneapolis,MN,55434,Anoka,-93.247483,45.136655
58,12932 Woodcrest Dr,Shelby Township,MI,48315,Macomb,-83.001656,42.689897
59,PO Box 396,Highland Park,IL,60035,Lake,-87.810378,42.185758
60,1209 S Adams St,Fulton,MS,38843,Itawamba,-88.40361299999999,34.255764
61,1518 Vines Ave,Big Spring,TX,79720,Howard,-101.454414,32.253833
62,1664 W Division St,Chicago,IL,60622,Cook,-87.66985,41.903596
63,305 Lauren Dr,Nicholasville,KY,40356,Jessamine,-84.554072,37.892253
64,1570 Elgaen Place Dr,Roswell,GA,30075,Fulton,-84.380632,34.054337
65,3240 Menlo Dr,Glendale,CA,91208,Los Angeles,-118.224448,34.197648
66,627 S Seigel St,Decatur,IL,62522,Macon,-88.965148,39.835101
67,PO Box 93,Spring Park,MN,55384,Hennepin,-93.631949,44.93762
68,3611 Fest Rd,San Antonio,TX,78264,Bexar,-98.574063,29.248691
69,1458 S Almar,Mesa,AZ,85204,Maricopa,-111.760694,33.388232
70,27 W Greenhill Terrace Pl,Spring,TX,77382,Montgomery,-95.512733,30.226331
71,5590 Center Hill Church Rd,Loganville,GA,30052,Walton,-83.911723,33.772161
72,312 Ridge Rd,North Aurora,IL,60542,Kane,-88.314742,41.818544
73,1810 S Greene St,Greenville,NC,27834,Pitt County,-77.379116,35.595929
74,2327 Glendale Ter,Alexandria,VA,22303,Alexandria,-77.07184,38.793415
75,308 W Pacific St,Uvalde,TX,78801,Uvalde,-99.799078,29.235416
76,401 Ladbroke Rd,Greenville,SC,29615,Greenville,-82.294128,34.881486
77,309 Sandcastle Cir,Franklin,TN,37069,Williamson,-86.95788,36.027494
78,1312 Kruger Ave,Charleston,SC,29407,Charleston,-80.000627,32.786167
79,4037 Herring Dr,Corpus Christi,TX,78418,Nueces,-97.300489,27.615699
80,2912 Westwind Way,Bozeman,MT,59718,Gallatin,-111.078549,45.696376
81,5761 W 82nd Pl,Burbank,IL,60459,Cook,-87.76546,41.742028
82,16180 Sw 113th Ave,Portland,OR,97224,Washington,-122.792852,45.403233
83,1825 E 9th Ave,Hialeah,FL,33013,Miami-Dade,-80.263609,25.839068
84,492 Hempstead Tpke,Elmont,NY,11003,Nassau,-73.709309,40.708307
85,1201 Ne 81st Ter,Kansas City,MO,64118,Clay,-94.566408,39.241261
86,840 Misty Glen Ln,Dallas,TX,75232,Dallas,-96.836648,32.684993
87,16 Anderson Pkwy,Cedar Grove,NJ,7009,Essex,-74.232126,40.872938
88,38632 Northfarm Dr,Northville,MI,48167,Oakland,-83.42693,42.446536
89,4008 Walnut Park Cir,Garland,TX,75042,Dallas,-96.690455,32.919288
90,11 N Washington St,Easton,MD,21601,Talbot,-76.076944,38.774794
91,13824 Sw 42nd St,Davie,FL,33330,Broward,-80.331354,26.066596
92,19 Sutton Ct,Upper Marlboro,MD,20774,Prince Georges,-76.815327,38.894601
93,3910 W 171st St,Torrance,CA,90504,Los Angeles,-118.341283,33.874859
94,6721 E 121st Dr,Brighton,CO,80602,Adams,-104.909859,39.916144
95,117 Peach Hill Ln,Holly Springs,NC,27540,Wake,-78.871179,35.676152
96,936 Bob Little Rd,Panama City,FL,32404,Bay,-85.599132,30.165363
97,PO Box 2700,Cupertino,CA,95015,Santa Clara,-122.0538,37.3229
98,619 Arlington Rd,Greer,SC,29651,Spartanburg,-82.213781,34.950002
99,1004 Victory Ave,South Bend,IN,46615,St Joseph,-86.207384,41.688801
100,1315 N Olde Wagon Rd,Sioux Falls,SD,57110,Minnehaha County,-96.620601,43.561339
101,7058 Beechfern Ln S,Jacksonville,FL,32244,Duval,-81.759953,30.190131
102,91 Loggerhead Dr,Columbia,SC,29229,Richland,-80.866906,34.144259
103,217 Hernando St,Brooksville,FL,34601,Hernando,-82.399084,28.557333
104,3438 Chelsea Dr,Woodbridge,VA,22192,Prince William,-77.314188,38.657962
105,3904 Country Lane Dr,Delavan,WI,53115,Walworth,-88.646213,42.589228
106,2200 E 19th St,Muncie,IN,47302,Delaware,-85.360975,40.172131
107,552 Newbury Way,Lexington,KY,40514,Fayette,-84.543207,37.974744
108,102 S Bead St,Alma,GA,31510,Bacon,-82.451234,31.5402
109,3660 S Cox Ave,Springfield,MO,65807,Greene,-93.320578,37.14813
110,0N313 Ethel St,Winfield,IL,60190,Dupage,-88.148801,41.877583
111,15671 Aqueduct Ln,Chino Hills,CA,91709,San Bernardino,-117.721334,33.968558
112,20 Briarwood Dr,Matawan,NJ,7747,Middlesex,-74.248309,40.424813
113,150 Providence Club Dr,Monroe,GA,30656,Walton,-83.778705,33.890306
114,4310 Ridge Dr NE,Salem,OR,97301,Marion,-123.003391,44.98757
115,16812 Se 1st St,Vancouver,WA,98684,Clark,-122.499459,45.623265
116,2222 Jefferson St,Wilmington,NC,28401,New Hanover,-77.943262,34.198436
117,12718 Century St,Overland Park,KS,66213,Johnson,-94.731848,38.896592
118,9402 Cedar Dell Ct,Jacksonville,FL,32257,Duval,-81.625055,30.208662
119,3037 Mill Run Bnd,Round Rock,TX,78665,Williamson,-97.63933,30.53431
